country,code,region_code,region,admin_region_code,admin_region,income_level_code,income_level,lending_type_code,lending_type
Cambodia,KHM,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IDX,IDA
Kiribati,KIR,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IDX,IDA
St. Kitts and Nevis,KNA,LCN,Latin America & Caribbean,,,HIC,High income,IBD,IBRD
"Korea, Rep.",KOR,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Kuwait,KWT,MEA,Middle East & North Africa,,,HIC,High income,LNX,Not classified
Lao PDR,LAO,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IDX,IDA
Lebanon,LBN,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD
Liberia,LBR,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Libya,LBY,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
St. Lucia,LCA,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IDB,Blend
Liechtenstein,LIE,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Sri Lanka,LKA,SAS,South Asia,SAS,South Asia,LMC,Lower middle income,IBD,IBRD
Lesotho,LSO,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Lithuania,LTU,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Luxembourg,LUX,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Latvia,LVA,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
"Macao SAR, China",MAC,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
St. Martin (French part),MAF,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
Morocco,MAR,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD
Monaco,MCO,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Moldova,MDA,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Madagascar,MDG,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Maldives,MDV,SAS,South Asia,SAS,South Asia,UMC,Upper middle income,IDX,IDA
Mexico,MEX,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Marshall Islands,MHL,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),UMC,Upper middle income,IDX,IDA
North Macedonia,MKD,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Mali,MLI,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Malta,MLT,MEA,Middle East & North Africa,,,HIC,High income,LNX,Not classified
Myanmar,MMR,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IDX,IDA
